iter	Passed	Remaining
0	0	79
1	1	76
2	2	73
3	2	70
4	3	71
5	4	70
6	5	69
7	5	68
8	6	67
9	7	66
10	8	66
11	9	66
12	9	66
13	10	66
14	11	65
15	12	64
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	18	59
24	19	59
25	20	58
26	21	57
27	22	57
28	22	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	44
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	63	14
81	63	14
82	64	13
83	65	12
84	66	11
85	67	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
